entity,category,count,tf,idf,tfidf
12 days,impact,1,0.0039,1.3863,0.005458
120 million,impact,1,0.0039,1.3863,0.005458
18 separate days,impact,1,0.0039,1.3863,0.005458
190%,impact,1,0.0039,1.3863,0.005458
1920,impact,1,0.0039,1.3863,0.005458
1961,impact,1,0.0039,1.3863,0.005458
2 degrees,impact,2,0.0079,0.6931,0.005458
2.1 degrees,impact,1,0.0039,1.3863,0.005458
2.4 million,impact,1,0.0039,1.3863,0.005458
"20,000",impact,1,0.0039,1.3863,0.005458
2000,impact,1,0.0039,1.3863,0.005458
2009,impact,1,0.0039,1.3863,0.005458
2018-2022,impact,1,0.0039,1.3863,0.005458
2020-2023,impact,1,0.0039,1.3863,0.005458
2024 heatwave season,impact,1,0.0039,1.3863,0.005458
22.8 million,impact,1,0.0039,1.3863,0.005458
23 billion dollar,impact,1,0.0039,1.3863,0.005458
24 hours,impact,1,0.0039,1.3863,0.005458
26.4 million,impact,1,0.0039,1.3863,0.005458
270,impact,1,0.0039,1.3863,0.005458
270 kilometers per hour,impact,1,0.0039,1.3863,0.005458
28,impact,1,0.0039,1.3863,0.005458
3-5%,impact,1,0.0039,1.3863,0.005458
3.3 to 3.6 billion,impact,1,0.0039,1.3863,0.005458
3.7 million,impact,1,0.0039,1.3863,0.005458
33 million,impact,1,0.0039,1.3863,0.005458
35 degrees,impact,1,0.0039,1.3863,0.005458
36 million,impact,1,0.0039,1.3863,0.005458
37%,impact,1,0.0039,1.3863,0.005458
4.2 million,impact,1,0.0039,1.3863,0.005458
40 days,impact,1,0.0039,1.3863,0.005458
40 degrees,impact,1,0.0039,1.3863,0.005458
"40,000",impact,1,0.0039,1.3863,0.005458
"400,000",impact,1,0.0039,1.3863,0.005458
41%,impact,1,0.0039,1.3863,0.005458
414 millimeters,impact,1,0.0039,1.3863,0.005458
45 million,impact,1,0.0039,1.3863,0.005458
48 degrees,impact,1,0.0039,1.3863,0.005458
500 cubic meters,impact,1,0.0039,1.3863,0.005458
68%,impact,1,0.0039,1.3863,0.005458
"7,000",impact,1,0.0039,1.3863,0.005458
